,Domain,Type,TLD Manager
1424,.қаз,country-code,Association of IT Companies of Kazakhstan
1425,.католик,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1426,.онлайн,generic,CORE Association
1427,.сайт,generic,CORE Association
1428,.联通,generic,China United Network Communications Corporation Limited
1429,.срб,country-code,Serbian National Internet Domain Registry (RNIDS)
1430,.бг,country-code,Imena.BG AD
1431,.бел,country-code,"Reliable Software, Ltd."
1432,‏.קום‎,generic,VeriSign Sarl
1433,.时尚,generic,RISE VICTORY LIMITED
1434,.微博,generic,Sina Corporation
1435,.테스트,test,Internet Assigned Numbers Authority
1436,.淡马锡,generic,Temasek Holdings (Private) Limited
1437,.ファッション,generic,"Amazon Registry Services, Inc."
1438,.орг,generic,Public Interest Registry
1439,.नेट,generic,VeriSign Sarl
1440,.ストア,generic,"Amazon Registry Services, Inc."
1441,.アマゾン,generic,"Amazon Registry Services, Inc."
1442,.삼성,generic,"SAMSUNG SDS CO., LTD"
1443,.சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1444,.商标,generic,Internet DotTrademark Organisation Limited
1445,.商店,generic,"Binky Moon, LLC"
1446,.商城,generic,Zodiac Aquarius Limited
1447,.дети,generic,The Foundation for Network Initiatives “The Smart Internet”
1448,.мкд,country-code,Macedonian Academic Research Network Skopje
1449,‏.טעסט‎,test,Internet Assigned Numbers Authority
1450,.ею,country-code,EURid vzw/asbl
1451,.ポイント,generic,"Amazon Registry Services, Inc."
1452,.新闻,generic,"Guangzhou YU Wei Information and Technology Co.,Ltd"
1453,.工行,generic,Not assigned
1454,.家電,generic,"Amazon Registry Services, Inc."
1455,‏.كوم‎,generic,VeriSign Sarl
1456,.中文网,generic,TLD REGISTRY LIMITED
1457,.中信,generic,CITIC Group Corporation
1458,.中国,country-code,China Internet Network Information Center (CNNIC)
1459,.中國,country-code,China Internet Network Information Center (CNNIC)
1460,.娱乐,generic,"Binky Moon, LLC"
1461,.谷歌,generic,Charleston Road Registry Inc.
1462,.భారత్,country-code,National Internet Exchange of India
1463,.ලංකා,country-code,LK Domain Registry
1464,.電訊盈科,generic,PCCW Enterprises Limited
1465,.购物,generic,"Nawang Heli(Xiamen) Network Service Co., LTD."
1466,.測試,test,Internet Assigned Numbers Authority
